listing_id,name,host_id,neighbourhood,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,data_year
6372898,Studio Cottage Private Yard - 2 Blocks to Beach,9580316,Pacific Beach,92109,32.79438,-117.23411,Entire home/apt,60.0,31,1.0,2019-05-04,,,2024
13547079,Unwind in a SERENE Resort (25% Monthly Discount),22153899,Carmel Valley,92130,32.94767,-117.2037,Private room,60.0,30,3.0,2018-08-26,,,2024
13685222,Private bed/bath near downtown,64371389,Midtown,92103,32.73831,-117.17308,Private room,60.0,30,39.0,2019-06-22,,,2024
13769193,"Carmel Valley/Del Mar Near Beach, Restaurants",4546887,Carmel Valley,92130,32.94343,-117.23238,Private room,60.0,30,10.0,2018-12-15,,,2024
30449811,Pacific Beach 1 Block to Bay and 4 Blocks to Ocean,223528958,Pacific Beach,92109,32.79394,-117.24794,Private room,60.0,30,0.0,,,,2024
19547750,"Stylish, private, & walkable in University Heights",55555219,University Heights,92116,32.76135,-117.13902,Private room,55.0,31,12.0,2019-06-30,,,2024
1815604,"Walk distance to Pacific Beach, Amenities, Cozy",9444320,Pacific Beach,92109,32.8037,-117.24115,Private room,60.0,28,68.0,2019-06-27,,,2024
7871918,Private room & bath in lovely condo,17770025,Tierrasanta,92124,32.82949,-117.1115,Private room,55.0,30,26.0,2018-12-15,,,2024
13192557,Furnished room in South Mission Beach - San Diego,73852036,Mission Beach,92109,32.76754,-117.25154,Private room,55.0,30,2.0,2019-05-31,,,2024
23169470,Beautiful townhome available in La Jolla,172247348,La Jolla,92037,32.85543,-117.23648,Private room,55.0,30,1.0,2019-06-26,,,2024
32547755,Private Room in a quiet La Jolla Townhouse,73852036,La Jolla,92037,32.85763,-117.23244,Private room,55.0,30,0.0,,,,2024
17634558,FLORIDA  Room/ The USA Inn One,119877234,Mission Hill,92103,32.75329,-117.18602,Private room,50.0,31,40.0,2018-09-10,,,2024
17635204,WASH DC Room/ The USA Inn One,119877234,Mission Hill,92103,32.75311,-117.18468,Private room,50.0,31,21.0,2017-10-29,,,2024
18447066,Private room and bathroom in Bay Park,39267987,Bay Park,92117,32.79121,-117.20493,Private room,300.0,5,1.0,2017-08-15,,,2024
20485276,Suite Amy,73851541,Rancho Bernardo,92127,33.0033,-117.08456,Private room,150.0,10,2.0,2019-02-03,,,2024
25268820,B3: Remodled Clean Private room Close to Qualcomm,7653310,Mira Mesa,92126,32.91024,-117.15417,Private room,50.0,30,2.0,2018-07-14,,,2024
